account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,total_subscriptions,avg_mrr,total_upgrades,total_downgrades,total_usage,total_usage_duration,total_errors,beta_feature_usage,total_tickets,avg_resolution_time,avg_first_response,avg_satisfaction,escalation_count,churned,usage_per_subscription,tickets_per_subscription,error_rate,mrr_per_seat,churn_risk_score
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,10,1260.3,1,0,535,152339,38,4,2.0,23.0,91.0,3.0,0.0,1.0,48.63636363636363,0.1818181818181818,0.0708955223880597,126.03,0.64533
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,8,1250.5,3,0,355,101136,14,2,3.0,38.0,73.33333333333333,4.0,0.0,0.0,39.44444444444444,0.3333333333333333,0.0393258426966292,65.8157894736842,0.06543633
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,15,1219.0666666666666,1,1,821,251210,48,5,3.0,43.66666666666666,63.66666666666666,4.666666666666667,0.0,1.0,51.3125,0.1875,0.0583941605839416,609.5333333333333,0.9539358
A-1f0ac7,Company_3,HealthTech,UK,2023-08-27,other,Basic,24,True,False,7,1325.0,2,0,382,102528,21,5,2.0,29.0,174.0,0.0,0.0,1.0,47.75,0.25,0.0548302872062663,53.0,0.9610981
A-ce550d,Company_4,HealthTech,US,2024-10-27,event,Enterprise,35,False,True,9,5417.888888888889,2,0,579,215779,31,4,7.0,42.285714285714285,107.85714285714286,3.8,1.0,1.0,57.9,0.7,0.0534482758620689,150.4969135802469,0.95565176
A-1b9609,Company_5,EdTech,IN,2023-10-12,ads,Enterprise,4,False,False,11,1528.1818181818182,0,0,457,140541,21,6,4.0,43.0,74.75,3.0,0.0,1.0,38.083333333333336,0.3333333333333333,0.0458515283842794,305.6363636363636,0.9250945
A-a0ca4e,Company_6,Cybersecurity,US,2024-03-08,ads,Pro,11,False,False,9,1848.111111111111,0,0,373,116964,14,3,6.0,39.16666666666666,89.83333333333333,3.8,3.0,0.0,37.3,0.6,0.0374331550802139,154.00925925925927,0.08570444
A-e5d6ab,Company_7,EdTech,US,2023-04-15,partner,Pro,3,False,False,10,1304.8,0,0,382,111506,23,5,3.0,42.66666666666666,57.0,0.0,0.0,1.0,34.72727272727273,0.2727272727272727,0.0600522193211488,326.2,0.9352501
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,12,False,True,10,2305.7,1,0,472,145429,29,5,4.0,32.5,75.25,3.6666666666666665,0.0,1.0,42.90909090909091,0.3636363636363636,0.0613107822410148,177.36153846153846,0.94141805
A-10b8da,Company_9,DevTools,US,2023-05-08,partner,Enterprise,14,False,True,6,1464.5,1,0,257,73818,14,2,3.0,31.33333333333333,71.33333333333333,3.5,0.0,0.0,36.71428571428572,0.4285714285714285,0.0542635658914728,97.63333333333334,0.96120566
